16:11:26	r	b	swpd	free	buff	cache	si	so	bi	bo	in	cs	us	sy	id	wa	st
16:12:03	0	0	0	4375544	160288	2814732	0	0	0	0	47	82	0	0	100	0	0
16:12:04	0	0	0	4375544	160288	2814732	0	0	0	0	58	89	0	0	100	0	0
16:12:06	0	0	0	4375544	160288	2814732	0	0	0	0	71	85	0	0	100	0	0
16:12:07	0	0	0	4375544	160288	2814732	0	0	0	0	69	94	0	0	100	0	0
16:12:08	0	0	0	4375544	160288	2814732	0	0	0	0	55	96	0	0	100	0	0
16:12:09	0	0	0	4375544	160288	2814732	0	0	0	16	70	103	0	0	100	0	0
16:12:10	0	0	0	4375544	160288	2814732	0	0	0	0	68	84	0	0	100	0	0
16:12:11	0	0	0	4375544	160288	2814732	0	0	0	32	70	95	0	0	100	0	0
16:12:12	0	0	0	4375544	160288	2814732	0	0	0	0	47	79	0	0	100	0	0
16:12:13	0	0	0	4375544	160288	2814732	0	0	0	0	71	103	0	0	100	0	0
16:12:14	0	0	0	4375544	160288	2814732	0	0	0	0	48	84	0	0	100	0	0
16:12:15	0	0	0	4375544	160288	2814732	0	0	0	16	60	99	0	0	100	0	0
16:12:16	0	0	0	4375544	160288	2814732	0	0	0	0	47	82	0	0	100	0	0
16:12:17	0	0	0	4375544	160288	2814732	0	0	0	0	61	94	0	0	100	0	0
16:12:18	0	0	0	4375544	160288	2814732	0	0	0	0	47	80	0	0	100	0	0
16:12:19	0	0	0	4375544	160288	2814732	0	0	0	0	60	95	0	0	100	0	0
16:12:20	0	0	0	4375544	160288	2814732	0	0	0	0	62	99	0	0	100	0	0
16:12:21	0	0	0	4375544	160288	2814732	0	0	0	16	80	127	0	0	100	0	0
16:12:22	0	0	0	4375544	160288	2814732	0	0	0	0	50	82	0	0	100	0	0
16:12:23	0	0	0	4375544	160288	2814732	0	0	0	0	62	91	0	0	100	0	0
16:12:24	0	0	0	4375544	160288	2814732	0	0	0	0	49	83	0	0	100	0	0
16:12:25	0	0	0	4375544	160288	2814732	0	0	0	0	63	90	0	0	100	0	0
16:12:26	0	0	0	4375544	160288	2814732	0	0	0	0	49	87	0	0	100	0	0
16:12:27	0	0	0	4375544	160288	2814732	0	0	0	16	62	101	0	0	100	0	0
16:12:28	0	0	0	4375544	160288	2814732	0	0	0	0	88	133	0	0	100	0	0
16:12:29	0	0	0	4375544	160288	2814732	0	0	0	0	98	129	0	0	100	0	0
16:12:30	0	0	0	4375544	160288	2814736	0	0	0	0	74	115	0	0	100	0	0
16:12:31	0	0	0	4375544	160288	2814736	0	0	0	8	120	169	0	0	100	0	0
16:12:32	0	0	0	4375544	160288	2814736	0	0	0	0	142	135	0	0	100	0	0
16:12:33	0	0	0	4375544	160288	2814736	0	0	0	24	63	103	0	0	100	0	0
16:12:34	0	0	0	4375544	160288	2814736	0	0	0	0	48	82	0	0	100	0	0
16:12:35	0	0	0	4375544	160288	2814736	0	0	0	0	61	97	0	0	100	0	0
16:12:36	0	0	0	4375544	160288	2814736	0	0	0	0	49	84	0	0	100	0	0
16:12:37	0	0	0	4375544	160288	2814736	0	0	0	0	58	91	0	0	100	0	0
16:12:38	0	0	0	4375544	160288	2814736	0	0	0	0	46	80	0	0	100	0	0
16:12:39	0	0	0	4375544	160288	2814736	0	0	0	16	64	103	0	0	100	0	0
16:12:40	0	0	0	4375544	160288	2814736	0	0	0	0	49	79	0	0	100	0	0
16:12:41	0	0	0	4375544	160288	2814736	0	0	0	0	62	93	0	0	100	0	0
16:12:42	0	0	0	4375544	160288	2814736	0	0	0	0	65	98	0	0	100	0	0
16:12:43	0	0	0	4375544	160288	2814736	0	0	0	0	65	91	0	0	100	0	0
16:12:44	0	0	0	4375544	160288	2814736	0	0	0	0	107	172	0	0	100	0	0
16:12:45	0	0	0	4375544	160288	2814736	0	0	0	16	143	205	0	0	100	0	0
16:12:46	0	0	0	4375544	160288	2814736	0	0	0	8	112	161	0	0	100	0	0
16:12:47	0	0	0	4375544	160288	2814736	0	0	0	0	75	109	0	0	100	0	0
16:12:48	0	0	0	4375544	160288	2814736	0	0	0	0	86	133	0	0	100	0	0
16:12:49	0	0	0	4375544	160288	2814736	0	0	0	0	78	113	0	0	100	0	0
16:12:50	0	0	0	4375544	160288	2814736	0	0	0	0	64	99	0	0	100	0	0
16:12:51	0	0	0	4375544	160288	2814736	0	0	0	16	91	137	0	0	100	0	0
16:12:52	0	0	0	4375544	160288	2814736	0	0	0	0	100	152	0	0	100	0	0
16:12:53	0	0	0	4375544	160288	2814736	0	0	0	0	192	201	0	0	100	0	0
